"Bp" "Int" "Split" "Bp_per_contig" "Per_Site_Mut_Rate" "Per_Site_Recomb_Rate" "Pop_Dynamics_Type" "Error"
"1" 1e+07 10 1024 9766 0.006513 0.006513 "constantPop" 4.07250304569543
"2" 1e+07 10 128 78125 0.006513 0.006513 "constantPop" 3.59641971374442
"3" 1e+07 10 16 625000 0.006513 0.006513 "constantPop" 3.57219207778242
"4" 1e+07 10 1 1e+07 0.006513 0.006513 "constantPop" 3.55288137893945
"5" 1e+07 10 256 39063 0.006513 0.006513 "constantPop" 3.65436578709279
"6" 1e+07 10 2 5e+06 0.006513 0.006513 "constantPop" 3.5557828024629
"7" 1e+07 10 32 312500 0.006513 0.006513 "constantPop" 3.60730276301407
"8" 1e+07 10 4 2500000 0.006513 0.006513 "constantPop" 3.55832165894736
"9" 1e+07 10 512 19532 0.006513 0.006513 "constantPop" 3.80506617966855
"10" 1e+07 10 64 156250 0.006513 0.006513 "constantPop" 3.67317446747007
"11" 1e+07 10 8 1250000 0.006513 0.006513 "constantPop" 3.57277740520075
"12" 1e+07 20 1024 9766 0.006513 0.006513 "constantPop" 3.78112831517081
"13" 1e+07 20 128 78125 0.006513 0.006513 "constantPop" 3.65292590943897
"14" 1e+07 20 16 625000 0.006513 0.006513 "constantPop" 3.63690072279666
"15" 1e+07 20 1 1e+07 0.006513 0.006513 "constantPop" 3.62557163038995
"16" 1e+07 20 256 39063 0.006513 0.006513 "constantPop" 3.65099640207351
"17" 1e+07 20 2 5e+06 0.006513 0.006513 "constantPop" 3.62932809017312
"18" 1e+07 20 32 312500 0.006513 0.006513 "constantPop" 3.59540331795602
"19" 1e+07 20 4 2500000 0.006513 0.006513 "constantPop" 3.63371089700995
"20" 1e+07 20 512 19532 0.006513 0.006513 "constantPop" 3.68456901860057
"21" 1e+07 20 64 156250 0.006513 0.006513 "constantPop" 3.63701974290016
"22" 1e+07 20 8 1250000 0.006513 0.006513 "constantPop" 3.63380912089141
"23" 1e+07 30 1024 9766 0.006513 0.006513 "constantPop" 2.28328583209938
"24" 1e+07 30 128 78125 0.006513 0.006513 "constantPop" 3.31214306839411
"25" 1e+07 30 16 625000 0.006513 0.006513 "constantPop" 3.2395060827612
"26" 1e+07 30 1 1e+07 0.006513 0.006513 "constantPop" 3.194671571265
"27" 1e+07 30 256 39063 0.006513 0.006513 "constantPop" 3.12303630636769
"28" 1e+07 30 2 5e+06 0.006513 0.006513 "constantPop" 3.19370670525574
"29" 1e+07 30 32 312500 0.006513 0.006513 "constantPop" 3.23992585565405
"30" 1e+07 30 4 2500000 0.006513 0.006513 "constantPop" 3.19852917342966
"31" 1e+07 30 512 19532 0.006513 0.006513 "constantPop" 2.81350294150394
"32" 1e+07 30 64 156250 0.006513 0.006513 "constantPop" 3.31334984447335
"33" 1e+07 30 8 1250000 0.006513 0.006513 "constantPop" 3.20836143059867
"34" 1e+07 40 1024 9766 0.006513 0.006513 "constantPop" 3.52340553018609
"35" 1e+07 40 128 78125 0.006513 0.006513 "constantPop" 3.46116194170876
"36" 1e+07 40 16 625000 0.006513 0.006513 "constantPop" 3.47439629840489
"37" 1e+07 40 1 1e+07 0.006513 0.006513 "constantPop" 3.4750047758783
"38" 1e+07 40 256 39063 0.006513 0.006513 "constantPop" 3.39543175847224
"39" 1e+07 40 2 5e+06 0.006513 0.006513 "constantPop" 3.4554804412553
"40" 1e+07 40 32 312500 0.006513 0.006513 "constantPop" 3.45582148545756
"41" 1e+07 40 4 2500000 0.006513 0.006513 "constantPop" 3.4652991005192
"42" 1e+07 40 512 19532 0.006513 0.006513 "constantPop" 3.47366646722748
"43" 1e+07 40 64 156250 0.006513 0.006513 "constantPop" 3.45828139674896
"44" 1e+07 40 8 1250000 0.006513 0.006513 "constantPop" 3.47156851375961
"45" 1e+06 10 1024 977 0.06513 0.06513 "constantPop" 3.76597298480434
"46" 1e+06 10 128 7813 0.06513 0.06513 "constantPop" 3.76597298480434
"47" 1e+06 10 16 62500 0.06513 0.06513 "constantPop" 3.76597298480434
"48" 1e+06 10 1 1e+06 0.06513 0.06513 "constantPop" 3.76597298480434
